Date,MSFT,AAPL,INTC,CSCO,QCOM,ORCL,TXN,ADBE,HPQ,AVGO,EA,GOOG,IPG,VZ,T,DIS,NFLX,CMCSA,CHTR,OMC,AMZN,MCD,HD,NKE,SBUX,LOW,TJX,TGT,MAR,ROST,JNJ,PFE,MRK,ABT,MDT,DHR,BAX,BDX,LLY,AMGN,JPM,BAC,WFC,C,GS,MS,BK,AXP,SPGI,BLK
2016-12-23,56.999549865722656,26.882192611694336,30.18183135986328,23.208065032958984,52.5150260925293,33.854469299316406,58.48410415649414,105.0199966430664,11.397408485412598,14.148059844970703,78.5083236694336,39.227054595947266,16.63176155090332,33.29340362548828,16.913543701171875,99.04266357421875,125.58999633789062,28.366914749145508,290.42999267578125,63.73225402832031,38.02949905395508,100.10172271728516,109.39682006835938,46.53075408935547,47.346656799316406,61.46157455444336,33.756343841552734,57.12567138671875,77.87907409667969,61.5197868347168,90.96746063232422,21.144962310791016,43.438758850097656,32.6247673034668,57.84675979614258,66.9862289428711,38.101219177246094,142.82437133789062,63.913230895996094,113.30029296875,68.37843322753906,18.532102584838867,43.78078842163086,46.254024505615234,200.42291259765625,33.43643569946289,37.677154541015625,66.19668579101562,100.68307495117188,309.9630126953125
2016-12-27,57.035606384277344,27.05291748046875,30.263471603393555,23.32208824157715,52.82135772705078,33.889381408691406,58.8693733215332,104.9800033569336,11.480438232421875,14.17683219909668,78.90736389160156,39.308502197265625,16.74452018737793,33.26860046386719,16.88187599182129,99.06149291992188,128.35000610351562,28.45524024963379,291.79998779296875,64.0864486694336,38.56999969482422,100.04483795166016,109.56690216064453,45.97500228881836,47.22208023071289,61.40207290649414,33.67243194580078,57.2811279296875,77.92538452148438,61.556434631347656,90.92821502685547,21.177513122558594,43.60649108886719,32.77760696411133,57.7020263671875,66.87593841552734,38.23908996582031,143.3220672607422,63.930572509765625,113.92227935791016,68.4412612915039,18.54030418395996,43.77296447753906,46.3298454284668,200.9136505126953,33.483028411865234,37.795936584472656,66.20552062988281,101.06175231933594,311.3692626953125
2016-12-28,56.77422332763672,26.93756866455078,29.904264450073242,23.124446868896484,51.64317321777344,33.76716995239258,58.22462463378906,103.7699966430664,11.276641845703125,14.011975288391113,78.22610473632812,38.98571014404297,16.582429885864258,33.14455795288086,16.83042335510254,98.24202728271484,125.88999938964844,28.28660774230957,291.1199951171875,63.429718017578125,38.60649871826172,99.72782897949219,109.41297912597656,45.73297882080078,46.798526763916016,60.841041564941406,33.25732421875,56.60493469238281,77.2030029296875,60.97893142700195,90.29279327392578,21.060333251953125,43.227264404296875,32.45494079589844,57.73420333862305,66.39579010009766,38.07537078857422,142.3011016845703,63.28095245361328,113.3924560546875,67.94639587402344,18.31070899963379,43.28007888793945,45.53354263305664,200.15676879882812,33.09477615356445,37.73257827758789,65.66690063476562,100.36909484863281,306.17822265625
2016-12-29,56.69310760498047,26.930644989013672,29.92875099182129,23.15485382080078,51.87096405029297,33.77589416503906,58.30325698852539,103.68000030517578,11.276641845703125,13.987092971801758,78.01201629638672,38.873477935791016,16.659944534301758,33.330631256103516,16.88583755493164,98.4869155883789,125.33000183105469,28.142074584960938,292.19000244140625,63.22310256958008,38.25749969482422,99.81721496582031,109.43729400634766,45.768836975097656,46.773616790771484,60.6454963684082,33.433963775634766,56.44170379638672,77.16594696044922,60.841426849365234,90.59874725341797,21.15147590637207,43.05949783325195,32.531368255615234,57.51713180541992,66.47225189208984,38.13569641113281,142.54127502441406,63.714019775390625,113.47691345214844,67.46721649169922,18.040102005004883,42.904544830322266,45.03301239013672,198.1024169921875,32.72980499267578,37.48711395263672,65.2695541381836,100.304443359375,304.5469970703125
2016-12-30,56.00810241699219,26.720699310302734,29.61036491394043,22.972414016723633,51.21117401123047,33.56638717651367,57.37542724609375,102.94999694824219,11.201164245605469,13.746026039123535,76.64952087402344,38.32870864868164,16.497865676879883,33.107330322265625,16.834381103515625,98.16667938232422,123.80000305175781,27.83370590209961,287.9200134277344,62.8025016784668,37.493499755859375,98.94739532470703,108.61106872558594,45.562679290771484,46.109222412109375,60.45849609375,33.177833557128906,56.13859939575195,76.57324981689453,60.13557052612305,90.37908935546875,21.144962310791016,42.935508728027344,32.616275787353516,57.26786804199219,66.14934539794922,38.204627990722656,142.026611328125,63.705345153808594,112.27136993408203,67.78144073486328,18.122098922729492,43.115779876708984,45.0709342956543,199.15870666503906,32.807472229003906,37.518775939941406,65.41085052490234,99.31626892089844,305.7845764160156
2017-01-03,56.40468215942383,26.796833038330078,29.87977409362793,23.215667724609375,51.36827087402344,33.78548049926758,57.85506820678711,103.4800033569336,11.208709716796875,13.86811637878418,77.04855346679688,39.03983688354492,16.568330764770508,33.85161209106445,17.02833366394043,99.91863250732422,127.48999786376953,27.83370590209961,285.7699890136719,62.77298355102539,37.68349838256836,97.24028778076172,108.79734802246094,46.593509674072266,45.968021392822266,60.313961029052734,33.31913757324219,56.542755126953125,76.40650939941406,60.144737243652344,90.87330627441406,21.483491897583008,43.869056701660156,33.15972900390625,56.7694206237793,66.94815826416016,38.2907829284668,141.683349609375,64.61480712890625,115.7421646118164,68.51982116699219,18.47470474243164,43.81208801269531,45.95064926147461,200.9220428466797,33.42866134643555,37.97806930541992,66.53221893310547,100.10128784179688,310.5173645019531
2017-01-04,56.15231704711914,26.76683807373047,29.724668502807617,23.07765769958496,51.42325973510742,33.95201110839844,57.784305572509766,104.13999938964844,11.382315635681152,13.769360542297363,78.46942138671875,39.07758331298828,16.652904510498047,33.81438446044922,16.929378509521484,101.19964599609375,129.41000366210938,28.164241790771484,291.54998779296875,63.237857818603516,37.85900115966797,97.12649536132812,109.76133728027344,47.57054901123047,46.49955749511719,61.0450553894043,33.835819244384766,57.366615295410156,76.25833892822266,61.00643539428711,90.72425842285156,21.672290802001953,43.85447692871094,33.4229850769043,57.300048828125,67.37303924560547,38.557884216308594,141.5032501220703,64.71875762939453,117.38543701171875,68.64617156982422,18.819101333618164,43.8511962890625,46.57253646850586,202.219482421875,33.871280670166016,38.57196044921875,67.62289428710938,103.19508361816406,310.70220947265625
2017-01-05,56.15231704711914,26.90296173095703,29.675674438476562,23.131328582763672,51.486080169677734,33.864356994628906,57.33610534667969,105.91000366210938,11.37476634979248,13.552400588989258,76.84416198730469,39.4311637878418,16.279396057128906,33.88881301879883,16.88187599182129,101.14313507080078,131.80999755859375,28.277109146118164,296.1700134277344,62.765586853027344,39.022499084472656,97.30532836914062,108.4652328491211,47.561580657958984,46.889888763427734,60.41598129272461,33.62826919555664,56.39507293701172,75.73970794677734,60.218074798583984,91.67346954345703,21.880615234375,43.83988952636719,33.71169662475586,56.9462776184082,67.9934310913086,38.816383361816406,141.38316345214844,65.4722900390625,117.4698715209961,68.0143051147461,18.59770393371582,43.1705436706543,45.76105499267578,200.71409606933594,33.5606803894043,38.08100891113281,66.78936004638672,103.98008728027344,307.3916015625
2017-01-06,56.63903045654297,27.202884674072266,29.78180503845215,23.17732810974121,51.47037887573242,33.69784927368164,58.30325698852539,108.30000305175781,11.321931838989258,13.73203182220459,76.89281463623047,40.03354263305664,16.659944534301758,33.38608932495117,16.608060836791992,102.65020751953125,131.07000732421875,28.325475692749023,298.1600036621094,63.319026947021484,39.79949951171875,98.16699981689453,108.16551971435547,48.32350158691406,47.446319580078125,60.313961029052734,33.553199768066406,55.524600982666016,76.22129821777344,59.869728088378906,91.23419189453125,21.795982360839844,43.95657730102539,34.6287841796875,58.586421966552734,68.35035705566406,39.22134780883789,144.03404235839844,65.54157257080078,120.3878173828125,68.02218627929688,18.59770393371582,43.06100845336914,45.92033004760742,203.691650390625,34.04987335205078,38.144351959228516,66.92237091064453,105.83637237548828,308.80584716796875
2017-01-09,56.458770751953125,27.452045440673828,29.887939453125,23.13899803161621,51.56462860107422,34.2061653137207,58.45263671875,108.56999969482422,11.080397605895996,13.761581420898438,76.5327377319336,40.05836486816406,16.568330764770508,33.02251434326172,16.3990535736084,102.06621551513672,130.9499969482422,28.551198959350586,296.260009765625,63.009117126464844,39.84600067138672,97.89875030517578,108.79734802246094,47.848419189453125,48.3349494934082,60.41598129272461,33.60619354248047,55.51682662963867,76.17498016357422,59.998077392578125,91.21849060058594,21.789470672607422,44.56191635131836,34.594825744628906,59.350196838378906,68.486328125,39.78139877319336,144.87484741210938,66.06126403808594,121.96967315673828,68.06961059570312,18.491106033325195,42.43513107299805,45.67006301879883,202.01986694335938,33.16466522216797,37.72465896606445,67.26820373535156,104.6173095703125,305.6882019042969
